number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
20,3.9748355733485843,2026-03-18 08:32:01.098031,2026-03-18 08:39:29.619728,0 days 00:07:28.521697,4,32,64,0.3609600257803817,0.13207319404802925,0.14485178892425432,256,1.180733213189003,0.020494531972996742,0.003108115421635932,64,2,0.00010800059797404532,COMPLETE
21,5.5762081784386615,2026-03-18 08:39:29.642226,2026-03-18 08:47:00.518804,0 days 00:07:30.876578,8,32,64,0.3261611396841194,0.2814140482781991,0.3595214800913786,256,0.5354075036424683,0.060268608863592754,0.0007381395135516998,128,2,3.459004358774747e-05,COMPLETE
22,6.033743208464398,2026-03-18 08:47:00.540766,2026-03-18 08:54:31.272210,0 days 00:07:30.731444,8,32,64,0.25371352191855046,0.2883991465479807,0.38520980433037544,256,0.5151665681092052,0.05530907449674019,0.00043850791401235553,128,2,1.3615838740837355e-05,COMPLETE
23,5.80497569345153,2026-03-18 08:54:31.295108,2026-03-18 09:02:02.537385,0 days 00:07:31.242277,8,32,64,0.23152663094388873,0.22649522756252366,0.4490114792315548,256,1.6773505529300734,0.04380746558901968,0.00041005197358215113,128,2,7.621778578197577e-06,COMPLETE
24,0.17157563625965114,2026-03-18 09:02:02.561370,2026-03-18 09:04:17.973356,0 days 00:02:15.411986,2,32,64,0.2791350190231001,0.26096543826708535,0.4017797336479587,256,0.678436128736986,0.08833277493591918,0.00013187986244424284,128,2,1.465495392489209e-06,PRUNED
25,10.351730054332284,2026-03-18 09:04:17.996366,2026-03-18 09:11:43.245221,0 days 00:07:25.248855,8,32,64,0.20218006419159912,0.29958695833059107,0.3065210930402467,256,1.1159487802105499,0.018963201810420327,0.002225255305532704,64,1,3.547440753402046e-06,COMPLETE
26,9.179296539891336,2026-03-18 09:11:43.269126,2026-03-18 09:19:08.091564,0 days 00:07:24.822438,8,64,64,0.21072757122138464,0.29797160591595145,0.31099352869484836,256,1.0446617946207613,0.01635868878984987,0.0024622415859121387,128,1,4.190661629856908e-06,COMPLETE
27,9.751215327423505,2026-03-18 09:19:08.114574,2026-03-18 09:26:33.718495,0 days 00:07:25.603921,8,64,64,0.20315421957744303,0.29958489313798503,0.30016878735166236,256,1.10451681613918,0.014974103801271059,0.002492638295128416,64,1,2.592865856298617e-06,COMPLETE
28,8.407206176722905,2026-03-18 09:26:33.742772,2026-03-18 09:34:03.332680,0 days 00:07:29.589908,8,64,256,0.200579192041355,0.2994142728529036,0.3019924565517004,128,1.0225455767941467,0.015538375992975154,0.0013467987995839693,64,1,2.8723037120309907e-06,COMPLETE
29,0.057191878753217046,2026-03-18 09:34:03.356240,2026-03-18 09:36:17.079413,0 days 00:02:13.723173,8,64,128,0.21561011863989865,0.2608280622027941,0.3219522865903012,64,1.1306355433760424,0.013738163631499578,1.0010667716935431e-05,128,1,2.495395659585136e-06,PRUNED
30,0.2573634543894767,2026-03-18 09:36:17.103442,2026-03-18 09:38:50.133496,0 days 00:02:33.030054,8,64,128,0.24349492820873317,0.06715843999473763,0.24858612199736296,128,0.7930079519289619,0.0005435772345482263,0.0030086602446087987,256,1,4.205247542838624e-06,PRUNED
31,7.749499571060909,2026-03-18 09:38:50.157509,2026-03-18 09:46:19.660639,0 days 00:07:29.503130,8,64,256,0.20218435267334348,0.2916158413907212,0.29732510238173915,128,1.0564558209546218,0.023587053052559315,0.0013807066637900212,64,1,2.056828388699302e-06,COMPLETE
32,6.548470117243351,2026-03-18 09:46:19.684472,2026-03-18 09:53:49.231444,0 days 00:07:29.546972,8,64,256,0.26864679361417804,0.298080410630245,0.2890101374449403,128,0.8615526145503849,0.035564268919997206,0.0020296236145386864,64,1,4.039267016291179e-06,COMPLETE
33,7.8638833285673435,2026-03-18 09:53:49.254964,2026-03-18 10:01:17.952393,0 days 00:07:28.697429,8,64,256,0.22962913713416838,0.254226682166543,0.31462382976674275,128,1.1744876291440907,0.01651784361344757,0.0011509681778757981,64,1,2.754990591768814e-06,COMPLETE
34,0.8864741206748642,2026-03-18 10:01:17.978121,2026-03-18 10:03:33.127166,0 days 00:02:15.149045,8,64,256,0.22645029799067057,0.28063375739192936,0.2395951628288584,128,1.5167401587059506,0.01275780907371635,0.0035726752774122225,64,1,6.769671728364168e-06,PRUNED
35,0.22876751501286818,2026-03-18 10:03:33.152505,2026-03-18 10:06:04.157760,0 days 00:02:31.005255,8,64,256,0.2936419453517123,0.29979349456756044,0.3418464375004995,128,0.9431506938422549,0.03927726599907888,0.0020281114304347273,256,1,1.5552035884483217e-05,PRUNED
36,10.408921933085502,2026-03-18 10:06:04.182560,2026-03-18 10:13:33.477767,0 days 00:07:29.295207,8,64,256,0.25552767523231157,0.27193451913758593,0.30023682436546223,256,1.67232581054999,0.02655543415319485,0.0011307166277317352,64,1,1.1614490169255168e-06,COMPLETE
37,0.5433228481555619,2026-03-18 10:13:33.502778,2026-03-18 10:15:47.129896,0 days 00:02:13.627118,8,64,64,0.24997154118596687,0.26996418738051453,0.28221421982427286,256,1.8805126292414702,0.1185880520782033,0.003592306839642957,128,1,1.1403347973298698e-06,PRUNED
38,0.2859593937660852,2026-03-18 10:15:47.154592,2026-03-18 10:18:19.619440,0 days 00:02:32.464848,8,64,128,0.29653294559380494,0.2538880343486414,0.22123710528338575,256,1.6707395327822976,0.027859868659588997,0.0022270968138258357,256,1,1.6543199502948868e-06,PRUNED
39,8.378610237346297,2026-03-18 10:18:19.644679,2026-03-18 10:25:45.095996,0 days 00:07:25.451317,4,64,64,0.2588508216321099,0.2768947755254922,0.2717374725573454,256,0.7069518450690199,0.04693939740562417,0.004931190811763432,64,1,5.177126750388399e-06,COMPLETE
40,0.5433228481555619,2026-03-18 10:25:45.122737,2026-03-18 10:27:59.546680,0 days 00:02:14.423943,8,64,256,0.21885919628713962,0.24484325816093072,0.32445636091722135,256,2.161915954014901,0.1497646499416993,0.00014809026162927226,128,1,5.25506601396947e-05,PRUNED
41,10.26594223620246,2026-03-18 10:27:59.571777,2026-03-18 10:35:29.154507,0 days 00:07:29.582730,8,64,256,0.2045931242258086,0.28022220527022335,0.30451577819384595,256,1.0396043239049553,0.011690804871365838,0.0010600110261371925,64,1,2.8030523352434575e-06,COMPLETE
42,10.752073205604804,2026-03-18 10:35:29.180389,2026-03-18 10:42:58.615307,0 days 00:07:29.434918,8,64,256,0.23993548056514755,0.2704042557921482,0.2978326807511931,256,1.2501288715701164,0.008711879975478346,0.0009635545761634748,64,1,1.1323804740450125e-05,COMPLETE
43,9.894195024306548,2026-03-18 10:42:58.641023,2026-03-18 10:50:31.504793,0 days 00:07:32.863770,8,64,256,0.23555361526886684,0.26890317008011794,0.2348792010085187,256,1.2476040992695805,0.005470202281271212,0.001069855420436147,64,1,1.0341331869488889e-05,COMPLETE
44,8.7217615098656,2026-03-18 10:50:31.614612,2026-03-18 10:58:02.289754,0 days 00:07:30.675142,8,64,256,0.24399006677543206,0.2600881210363335,0.22864045964788238,256,1.2525469726395295,0.0005422123614629744,0.0005623149289302467,64,1,1.185661837958442e-05,COMPLETE
45,8.435802116099515,2026-03-18 10:58:02.315856,2026-03-18 11:05:34.482604,0 days 00:07:32.166748,8,64,256,0.31375183197971396,0.2111378285806697,0.2761177306657477,256,1.431995890640715,0.03543929141826078,0.000959241055794441,64,1,2.0592820757584176e-05,COMPLETE
46,8.235630540463255,2026-03-18 11:05:34.509104,2026-03-18 11:13:01.834934,0 days 00:07:27.325830,8,64,256,0.23350284558753098,0.2714381628741304,0.34544417739517874,256,1.8038373295474182,0.008226497785703956,0.0005671418498108864,64,1,8.857348270724102e-06,COMPLETE
