number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_grad_clip,params_label_smoothing,params_lr,params_weight_decay,state
60,0.0,2026-03-21 03:46:46.109469,2026-03-21 03:47:46.666542,0 days 00:01:00.557073,32,128,0.15668151628780194,1.8857133360139318,0.013393277826755146,1.2979638802328223e-05,0.00043982855446582646,PRUNED
61,13.15413211323992,2026-03-21 03:47:46.683097,2026-03-21 03:51:05.976440,0 days 00:03:19.293343,32,256,0.16577043112180193,1.6587804539790287,0.19437147769087482,0.0023307258179333574,9.770790929324429e-05,COMPLETE
62,13.983414355161567,2026-03-21 03:51:05.993021,2026-03-21 03:54:21.958039,0 days 00:03:15.965018,32,256,0.1419690401322929,1.7750027358590288,0.18215522172434942,0.0020772049168492745,4.374029324858837e-05,COMPLETE
63,2.6594223620245927,2026-03-21 03:54:21.974033,2026-03-21 03:55:29.966889,0 days 00:01:07.992856,32,256,0.1435633573833334,1.9714766939963257,0.18161180903265847,0.00208047880772558,4.6004318836212276e-05,PRUNED
64,0.31455533314269374,2026-03-21 03:55:29.982445,2026-03-21 03:56:28.809389,0 days 00:00:58.826944,32,256,0.1151030899615494,1.7794832373809382,0.1723949829288768,8.641854942563159e-05,3.358431030802111e-05,PRUNED
65,15.441807263368602,2026-03-21 03:56:28.825418,2026-03-21 03:59:43.068434,0 days 00:03:14.243016,32,256,0.13529155402009843,2.2066970181375374,0.1606530504649697,0.0011611642953740222,0.0001717470221202426,COMPLETE
66,14.955676293966256,2026-03-21 03:59:43.084449,2026-03-21 04:03:03.377097,0 days 00:03:20.292648,32,256,0.1307263742670746,2.059665376819793,0.17045540858492542,0.0013004932611719907,0.0001787993742505018,COMPLETE
67,1.0294538175579069,2026-03-21 04:03:03.393047,2026-03-21 04:04:04.606980,0 days 00:01:01.213933,32,64,0.1098182518394268,2.236737042506922,0.16918549393956564,0.0015879501664884895,0.0001730106615248362,PRUNED
68,14.726908778953389,2026-03-21 04:04:04.623483,2026-03-21 04:07:27.807811,0 days 00:03:23.184328,32,256,0.12296651782587388,2.1076758189230174,0.14266521538011867,0.0007454409088842058,5.1969583425721265e-05,COMPLETE
69,4.518158421504147,2026-03-21 04:07:27.824665,2026-03-21 04:08:59.304242,0 days 00:01:31.479577,32,256,0.12379090021542145,2.1149136575034087,0.1342770470641177,0.0006085318008197445,0.0004612628232943116,PRUNED
70,1.8015441807263368,2026-03-21 04:08:59.320243,2026-03-21 04:10:00.649496,0 days 00:01:01.329253,32,256,0.10159993452437019,2.2393420287540042,0.15622240768761403,0.0007719779247952654,0.00010877331647795742,PRUNED
71,3.1741492708035457,2026-03-21 04:10:00.666497,2026-03-21 04:11:22.378185,0 days 00:01:21.711688,32,256,0.13522281248577078,2.0636452367772415,0.14217200821717826,0.0012800746797765013,5.7648348884564245e-05,PRUNED
72,3.4601086645696313,2026-03-21 04:11:22.394183,2026-03-21 04:12:43.576123,0 days 00:01:21.181940,32,256,0.14348011068440497,1.8083677206875264,0.18210897542062057,0.0008982154171843189,9.470304183463578e-05,PRUNED
73,13.668859022018873,2026-03-21 04:12:43.592134,2026-03-21 04:16:06.046788,0 days 00:03:22.454654,32,256,0.1330146370425792,2.419170951751335,0.16244808357327728,0.0018306878285381317,1.325244320726559e-05,COMPLETE
74,5.719187875321705,2026-03-21 04:16:06.062789,2026-03-21 04:17:48.428626,0 days 00:01:42.365837,32,256,0.12056508636640453,2.0227069780211844,0.1524250155031442,0.0036367301432118616,2.6964465118021857e-05,PRUNED
75,15.956534172147554,2026-03-21 04:17:48.446002,2026-03-21 04:21:13.431244,0 days 00:03:24.985242,32,256,0.14992310118803637,2.172524605621878,0.17076233962472065,0.001223491877564636,3.858458436003364e-05,COMPLETE
76,1.915927938232771,2026-03-21 04:21:13.447534,2026-03-21 04:22:15.048066,0 days 00:01:01.600532,32,256,0.1760392696820105,2.3221218140791504,0.17146045563641032,0.0011771430923252627,0.00024509507180202946,PRUNED
77,0.8578781812982557,2026-03-21 04:22:15.065066,2026-03-21 04:23:17.015599,0 days 00:01:01.950533,32,128,0.15017252838796524,2.2033648374970642,0.14760429461133912,0.0003562332901681019,0.00016809579326119197,PRUNED
78,0.7434944237918215,2026-03-21 04:23:17.032107,2026-03-21 04:24:18.297575,0 days 00:01:01.265468,32,256,0.10998239599887732,2.1269053206715864,0.15954323031517886,0.00016680262113632897,7.555571910922788e-05,PRUNED
79,0.77209036316843,2026-03-21 04:24:18.314575,2026-03-21 04:25:19.820786,0 days 00:01:01.506211,32,256,0.33018727029218364,2.283424910738355,0.1690224476122262,0.0007652528398429376,0.00028406189253000103,PRUNED
80,1.4012010294538175,2026-03-21 04:25:19.837341,2026-03-21 04:26:20.514100,0 days 00:01:00.676759,32,256,0.28178585776906095,2.3966443903777974,0.1769235630122483,0.0014446217712194588,0.0011702970398604865,PRUNED
81,2.0589076351158138,2026-03-21 04:26:20.531685,2026-03-21 04:27:22.006641,0 days 00:01:01.474956,32,256,0.13811987620744248,1.6200032750448174,0.18688012354109915,0.0026763471309108507,4.097652875489059e-05,PRUNED
82,14.583929082070346,2026-03-21 04:27:22.024641,2026-03-21 04:30:43.704580,0 days 00:03:21.679939,32,256,0.12970908219607086,1.8639809306480664,0.1657737068711809,0.0009389295183578471,5.6454261819878635e-05,COMPLETE
83,1.5727766657134687,2026-03-21 04:30:43.721724,2026-03-21 04:31:44.708279,0 days 00:01:00.986555,32,256,0.12951800220845192,1.8608555341199138,0.16540014155307978,0.0005888954227700457,5.828994218303855e-05,PRUNED
